"","sample_id","Station","Latitude","Longitude","Depth m","CTD cast (to be checked)","depth_numeric","Cast","Cycle","Pressure [db]","Temp1 [°C]","Salinity1[PSS-78]","Oxygen1 [mmol/kg]","Fluorescence1 [milligrams/m^3]","Fluor average [mg m^-3]","easy_long","updated_cycle","bloom_state","water_mode","number_long","total_contigs","total_basepairs","max_contig","med_contig","avg_contig","bottom_percentile","top_percentil","n_virus","n_circular","sample","average_gc","per_read_gc","gc_var","mean_read_length","total_reads","total_bp","direction"
"1","NZ_1",NA,-43.4554,-173.879833333333,"Surface",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,173.879833333333,"Transit","No salp","Subtropical Pacific",422,119222,91954126,440621,458,771.284880307326,362,674,2253,4,"NZ1_S95_L002_R1_001",40.1764280994784,40.0222320709991,0.00808620366560073,86.6455832431508,48647618,4215101235,"F"
"2","NZ_1",NA,-43.4554,-173.879833333333,"Surface",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,173.879833333333,"Transit","No salp","Subtropical Pacific",422,119222,91954126,440621,458,771.284880307326,362,674,2253,4,"NZ1_S95_L002_R2_001",40.0614056182737,39.9149486248314,0.00816992347844318,86.3593128855764,48647618,4201174864,"R"
"3","NZ_2",NA,-43.4422333333333,-173.885683333333,"Surface",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,173.885683333333,"Transit","No salp","Subtropical Pacific",352,134983,97867480,402505,453,725.035597075187,358,664,2243,2,"NZ2_S96_L002_R1_001",39.3222596812944,39.2255481056002,0.00800439053339305,87.1165164371071,83317824,7258358584,"F"
"4","NZ_2",NA,-43.4422333333333,-173.885683333333,"Surface",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,173.885683333333,"Transit","No salp","Subtropical Pacific",352,134983,97867480,402505,453,725.035597075187,358,664,2243,2,"NZ2_S96_L002_R2_001",39.0624774082196,38.9983748745004,0.00827861642467632,87.3076758341649,83317824,7274285569,"R"
"5","NZ_3",95,-44.6281666666667,-174.231166666667,"10",9120,10,1,"1",9.11416326530612,11.2315653061224,34.599031327758,275.475545454546,0.33989612244898,0.292323469387755,174.231166666667,"1","Salp","Subantarctic",13,14320,7910174,34922,411,552.386452513966,342,549,254,0,"NZ3_S97_L002_R1_001",38.8810706032199,38.9519428214638,0.00927735766631446,88.7322756919053,35849453,3181003547,"F"
"6","NZ_3",95,-44.6281666666667,-174.231166666667,"10",9120,10,1,"1",9.11416326530612,11.2315653061224,34.599031327758,275.475545454546,0.33989612244898,0.292323469387755,174.231166666667,"1","Salp","Subantarctic",13,14320,7910174,34922,411,552.386452513966,342,549,254,0,"NZ3_S97_L002_R2_001",38.6206603821083,38.714732345168,0.0096261885792757,88.9401434381718,35849453,3188455492,"R"
"7","NZ_3",95,-44.6281666666667,-174.231166666667,"10",9120,10,1,"1",9.00066666666667,11.2293416666667,34.5988224595171,275.279277777778,0.39004625,0.3381290625,174.231166666667,"1","Salp","Subantarctic",13,14320,7910174,34922,411,552.386452513966,342,549,254,0,"NZ3_S97_L002_R1_001",38.8810706032199,38.9519428214638,0.00927735766631446,88.7322756919053,35849453,3181003547,"F"
"8","NZ_3",95,-44.6281666666667,-174.231166666667,"10",9120,10,1,"1",9.00066666666667,11.2293416666667,34.5988224595171,275.279277777778,0.39004625,0.3381290625,174.231166666667,"1","Salp","Subantarctic",13,14320,7910174,34922,411,552.386452513966,342,549,254,0,"NZ3_S97_L002_R2_001",38.6206603821083,38.714732345168,0.0096261885792757,88.9401434381718,35849453,3188455492,"R"
"9","NZ_3",95,-44.6281666666667,-174.231166666667,"10",9120,10,1,"1",9.09673469387756,11.224906122449,34.598212111872,275.360829787234,0.454878367346939,0.377633571428571,174.231166666667,"1","Salp","Subantarctic",13,14320,7910174,34922,411,552.386452513966,342,549,254,0,"NZ3_S97_L002_R1_001",38.8810706032199,38.9519428214638,0.00927735766631446,88.7322756919053,35849453,3181003547,"F"
"10","NZ_3",95,-44.6281666666667,-174.231166666667,"10",9120,10,1,"1",9.09673469387756,11.224906122449,34.598212111872,275.360829787234,0.454878367346939,0.377633571428571,174.231166666667,"1","Salp","Subantarctic",13,14320,7910174,34922,411,552.386452513966,342,549,254,0,"NZ3_S97_L002_R2_001",38.6206603821083,38.714732345168,0.0096261885792757,88.9401434381718,35849453,3188455492,"R"
"11","NZ_3",95,-44.6281666666667,-174.231166666667,"10",9120,10,1,"1",9.08691666666667,11.2064229166667,34.5959072560167,275.703577777778,0.472237708333333,0.412763645833333,174.231166666667,"1","Salp","Subantarctic",13,14320,7910174,34922,411,552.386452513966,342,549,254,0,"NZ3_S97_L002_R1_001",38.8810706032199,38.9519428214638,0.00927735766631446,88.7322756919053,35849453,3181003547,"F"
"12","NZ_3",95,-44.6281666666667,-174.231166666667,"10",9120,10,1,"1",9.08691666666667,11.2064229166667,34.5959072560167,275.703577777778,0.472237708333333,0.412763645833333,174.231166666667,"1","Salp","Subantarctic",13,14320,7910174,34922,411,552.386452513966,342,549,254,0,"NZ3_S97_L002_R2_001",38.6206603821083,38.714732345168,0.0096261885792757,88.9401434381718,35849453,3188455492,"R"
"13","NZ_4",95,-44.6281666666667,-174.231166666667,"25",9120,25,1,"1",24.540625,11.1742229166667,34.60079929982,275.504347826087,0.988117708333333,0.829562916666667,174.231166666667,"1","Salp","Subantarctic",219,102962,71130461,350606,450,690.841873700977,358.25,644,2446,2,"NZ4_S98_L002_R1_001",38.4842807966847,38.3995863555826,0.00670996173982863,86.7596798878784,44368954,3849436246,"F"
